目标变量,预测天数,best_baseline_name,selection_metric,selection_rule,validation_row_count,validation_MAE,validation_RMSE,validation_sMAPE
LUFL,10,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.2682249675704549,1.7254763418930208,0.2490890353864375
LUFL,11,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.3303840615159097,1.7940408477463212,0.2597987243304967
LUFL,12,cycle_mod_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.344154513936364,1.8516996854333108,0.2634090564168005
LUFL,13,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.4127386147113634,1.9264575560906203,0.2755192607051581
LUFL,14,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.4271249803477273,1.9695394488942013,0.281206617252739
LULL,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.3491250047068181,0.5516097497618402,0.4738231143122322
LULL,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.4364886390204544,0.6731185717743549,0.5499144647752946
LULL,3,cycle_mod_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5053454562272728,0.7877749127799729,0.5585163666608856
LULL,4,cycle_mod_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5028545469636364,0.7871485966096659,0.5407580271642461
LULL,5,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5361086833512207,0.7357861626128875,0.5569299410332662
LULL,6,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5286583521323711,0.7229360674529274,0.5440841927089756
LULL,7,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5184296098441188,0.7044040080166653,0.5313135789657759
LULL,8,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5178063593106716,0.7017875031031164,0.5271270500787224
LULL,9,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5097150460221188,0.6898970612381075,0.513281454419812
LULL,10,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.5012526278540669,0.6757009882629726,0.5003509438243164
LULL,11,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.4935560196297737,0.6639088588106636,0.4864999612341661
LULL,12,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.4938717191114842,0.6626601644171554,0.4842567692503133
LULL,13,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.4856776970696215,0.6514290651700311,0.4693372360301689
LULL,14,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.476069853006872,0.6392020283663353,0.4539957687937002
MUFL,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.1860068840772726,1.5551877737281274,0.1125294841100617
MUFL,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.3449386964090908,1.6949714199592916,0.1260312567705472
MUFL,3,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.464938705527273,1.817031403833919,0.1348912531894778
MUFL,4,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5709114505818185,1.93913046642771,0.1438889376411751
MUFL,5,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.6261523699863636,2.0345660882645467,0.147584072899225
MUFL,6,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.7362978261181818,2.1970345364971355,0.1569174518333454
MUFL,7,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.8555387429090917,2.3158943050423386,0.1670894979978921
MUFL,8,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.910786199244204,2.5396045973391748,0.1716320548273799
MUFL,9,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.903395438142108,2.539907818662192,0.1709512307664845
MUFL,10,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.9009526375499253,2.5467366774026057,0.1707103133425587
MUFL,11,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.904539449847748,2.547169735810764,0.1710372835512785
MUFL,12,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.897585717214308,2.544696020573754,0.1701616490942196
MUFL,13,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.8862254046010505,2.5346608977835907,0.1693513102451028
MUFL,14,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.885205406081948,2.5376646512400685,0.1694230731349676
MULL,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.248818179718182,1.8090590131204691,0.6167677167368262
MULL,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.4418772766681816,2.08895678226877,0.6858206587792074
MULL,3,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5793551928203602,2.056483796081394,0.719118054389494
MULL,4,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5762624156316145,2.051466689445649,0.7181644134206319
MULL,5,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5604536459990392,2.0273542919545764,0.714965601693631
MULL,6,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5404719740535662,2.006828072824969,0.7099372677314881
MULL,7,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.560897547514846,2.0216676643471136,0.7162543403460516
MULL,8,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5676993971926048,2.0331212464431814,0.7092792485323746
MULL,9,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.561275631426308,2.029015152582743,0.7037474166150415
MULL,10,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5557708179069427,2.0244218964322034,0.6965530433790014
MULL,11,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5652038002047866,2.033788194802616,0.6922091855252988
MULL,12,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5658039390630052,2.03429434564382,0.6917868534070124
