eval_level,数据集划分,baseline_name,目标变量,预测天数,row_count,MAE,RMSE,sMAPE
global,测试,cycle_mod_4,,,10486.0,1.3169605280423422,1.9357022650539535,0.24077005864097112
global,测试,mean_last_4,,,10486.0,1.1331510685140185,1.6762385546171992,0.21185506636678678
global,测试,weekday_horizon_mean,,,10486.0,3.0807852129271645,5.668150446171552,0.36097506596275186
global,测试,weighted_mean_last_4,,,10486.0,1.1642946716529277,1.720923223385441,0.21724351037219744
global,验证,cycle_mod_4,,,10780.0,2.118505759153339,2.9421077097409487,0.45339776313834174
global,验证,mean_last_4,,,10780.0,1.8980087228473563,2.6715061631216686,0.41373313364586345
global,验证,weekday_horizon_mean,,,10780.0,2.0702223231905,3.007716124454869,0.3823679005101106
global,验证,weighted_mean_last_4,,,10780.0,1.9625950481499073,2.7429255432767254,0.427035455667286
target_variable,测试,cycle_mod_4,HUFL,,1498.0,2.0177903895994658,2.5993170094272493,0.13190152762769522
target_variable,测试,cycle_mod_4,HULL,,1498.0,1.1873084367142857,1.565551688022856,0.24396318666387062
target_variable,测试,cycle_mod_4,LUFL,,1498.0,0.7922563463778372,1.0652827418632371,0.16524637028260922
target_variable,测试,cycle_mod_4,LULL,,1498.0,0.22726701201935914,0.2994850026506483,0.19111916945134774
target_variable,测试,cycle_mod_4,MUFL,,1498.0,1.5380327296275034,2.073303596868911,0.13462747100653868
target_variable,测试,cycle_mod_4,MULL,,1498.0,0.967187594953271,1.310827168978884,0.31912253201888385
target_variable,测试,cycle_mod_4,OT,,1498.0,2.488881187004673,3.1272715824707227,0.4994101534358523
target_variable,测试,mean_last_4,HUFL,,1498.0,1.6508167700600802,2.1531238591327586,0.10766339952564544
target_variable,测试,mean_last_4,HULL,,1498.0,1.0397870752436582,1.3316771202309328,0.22063954626543
target_variable,测试,mean_last_4,LUFL,,1498.0,0.6291158238968625,0.8444488141524035,0.1313917614717009
target_variable,测试,mean_last_4,LULL,,1498.0,0.19317388743457944,0.25946299308436904,0.16402863629217979
target_variable,测试,mean_last_4,MUFL,,1498.0,1.3232733734192257,1.7763045397827606,0.11584339728174815
target_variable,测试,mean_last_4,MULL,,1498.0,0.8554669718334447,1.1308146209530634,0.2932167320249391
target_variable,测试,mean_last_4,OT,,1498.0,2.2404235777102803,2.8363196521310923,0.4502019917058642
target_variable,测试,weekday_horizon_mean,HUFL,,1498.0,2.430223655192498,3.0188102700247303,0.16274983268969062
target_variable,测试,weekday_horizon_mean,HULL,,1498.0,1.2583480116225083,1.5783358728521895,0.2859662436358302
target_variable,测试,weekday_horizon_mean,LUFL,,1498.0,0.880447365644911,1.1170993837121963,0.18758874007488416
target_variable,测试,weekday_horizon_mean,LULL,,1498.0,0.31448041683337513,0.3574391206690197,0.265086997838538
target_variable,测试,weekday_horizon_mean,MUFL,,1498.0,1.6164522624102866,2.0771801502611975,0.1460839341087719
target_variable,测试,weekday_horizon_mean,MULL,,1498.0,0.9650341809576393,1.2512339685458536,0.35879850374264527
target_variable,测试,weekday_horizon_mean,OT,,1498.0,14.100510597828931,14.353926612963697,1.1205512096489025
target_variable,测试,weighted_mean_last_4,HUFL,,1498.0,1.6943942837396524,2.2097469022160077,0.11051478476346786
target_variable,测试,weighted_mean_last_4,HULL,,1498.0,1.064460773128171,1.3695159710632356,0.2251921253204594
target_variable,测试,weighted_mean_last_4,LUFL,,1498.0,0.6413683620873164,0.8601530848543676,0.1341158668523891
target_variable,测试,weighted_mean_last_4,LULL,,1498.0,0.19922522266194928,0.26554552501310996,0.16902460224695437
target_variable,测试,weighted_mean_last_4,MUFL,,1498.0,1.3686269814296395,1.8272274651072842,0.11978397999122573
target_variable,测试,weighted_mean_last_4,MULL,,1498.0,0.8755543557044059,1.1632212103314452,0.2987534604515505
target_variable,测试,weighted_mean_last_4,OT,,1498.0,2.3064327228193595,2.9103711567452217,0.46331975297933525
target_variable,验证,cycle_mod_4,HUFL,,1540.0,2.941965574774026,3.731729794455778,0.2007359899684247
target_variable,验证,cycle_mod_4,HULL,,1540.0,2.4166616734571424,3.1609686217191983,0.6903276240614515
target_variable,验证,cycle_mod_4,LUFL,,1540.0,1.182572697187013,1.6994766427950065,0.2339217837214406
target_variable,验证,cycle_mod_4,LULL,,1540.0,0.6710084418948052,0.9692984789223719,0.7181978386771523
target_variable,验证,cycle_mod_4,MUFL,,1540.0,2.100416332553896,2.6268775348588473,0.19178721048325315
target_variable,验证,cycle_mod_4,MULL,,1540.0,2.0996415611396104,2.880903641245915,0.9302591836106108
target_variable,验证,cycle_mod_4,OT,,1540.0,3.417274033066883,4.200785970477489,0.2085547114460599
target_variable,验证,mean_last_4,HUFL,,1540.0,2.594753875465909,3.342714660554995,0.1768160300994506
target_variable,验证,mean_last_4,HULL,,1540.0,2.1937246607142855,2.9277380095594694,0.6169779394676022
target_variable,验证,mean_last_4,LUFL,,1540.0,1.0933879588077924,1.5643189438240361,0.21684798272431058
target_variable,验证,mean_last_4,LULL,,1540.0,0.6250048708107143,0.9083387486753408,0.6910195418725037
target_variable,验证,mean_last_4,MUFL,,1540.0,1.8568497524357146,2.3703996915612278,0.16756615504119088
target_variable,验证,mean_last_4,MULL,,1540.0,1.8924915512396103,2.636750972531576,0.839730734290632
target_variable,验证,mean_last_4,OT,,1540.0,3.029848390457467,3.7907521250299743,0.18717355202535388
target_variable,验证,weekday_horizon_mean,HUFL,,1540.0,2.5968286063345465,3.406256598098929,0.17857254586402815
